COD_PERSONA,prob_0,prob_1,pc1,pc2
18,0.4571396784494306,0.5428603215505694,88.865072010652,-118.57417169734885
48,0.5059528824572601,0.49404711754273994,46.63526138754593,-22.569912793195204
88,0.9666666666666668,0.03333333333333333,131.2129551488536,-67.21274804347838
93,0.6933333333333334,0.3066666666666667,140.64095961184753,-61.92467464632555
99,0.4571396784494306,0.5428603215505694,83.31015532321547,-114.53494062759032
100,0.4571396784494306,0.5428603215505694,83.24254999899624,-114.37467595509327
107,0.6421428571428571,0.3578571428571428,305.06809247115945,105.89407974411228
145,0.4590429562802859,0.5409570437197142,167.55334029390707,-54.87592066256892
161,0.5515089458596323,0.44849105414036766,87.28884683898774,-117.30446290886628
165,0.4590429562802859,0.5409570437197142,88.39505557374919,-118.1130147558459
185,0.5059528824572601,0.49404711754273994,86.41078699206324,-117.23059498136479
204,0.9,0.1,83.32076317783522,-114.55142717359965
209,0.4590429562802859,0.5409570437197142,86.74992971675249,-117.67705584041619
240,0.4571396784494306,0.5428603215505694,155.1717676873351,-52.78067439090484
285,0.9492682926829268,0.050731707317073174,87.90710559448104,-117.71107571589512
286,0.5059528824572601,0.49404711754273994,8.714531573022471,-41.02395184902455
320,0.4590429562802859,0.5409570437197142,84.70352246281011,-115.39169987822076
331,0.4571396784494306,0.5428603215505694,9.960557259161018,-42.749841956388835
388,0.5059528824572601,0.49404711754273994,181.39617856152248,-16.955776805204017
409,0.4571396784494306,0.5428603215505694,88.50666444235236,-118.23490739605187
525,0.6113095238095237,0.3886904761904762,31.03113219169624,-15.751838489046653
544,0.5059528824572601,0.49404711754273994,86.51359729763223,-116.79798699014181
592,0.5059528824572601,0.49404711754273994,243.63407107558876,44.08234098770894
631,0.4590429562802859,0.5409570437197142,141.46577934556112,-61.31517118700744
638,0.5059528824572601,0.49404711754273994,179.39876791075264,-23.614515773567636
650,0.3208103829531927,0.6791896170468072,5.004232876899016,-37.952070633354765
708,0.4571396784494306,0.5428603215505694,470.9867716748111,270.7027385572277
738,0.4571396784494306,0.5428603215505694,86.76429797468175,-117.41280761251836
745,0.6421428571428571,0.3578571428571428,418.2185473232083,380.76327729612797
884,0.4590429562802859,0.5409570437197142,88.53725575127882,-118.51583344018846
