COD_PERSONA,prob_0,prob_1,y,pc1,pc2
1140,0.47107525020729013,0.5289247497927099,125.84638422898013,125.84638422898013,-79.4677309486805
17695,0.4658410611199143,0.5341589388800857,132.1433661151432,132.1433661151432,-83.11295401730317
17964,0.48143841200483894,0.518561587995161,197.2748593421009,197.2748593421009,76.47466850361593
44114,0.6782439678375232,0.32175603216247683,-99.95900585185251,-99.95900585185251,22.68817992700483
42018,0.48143841200483894,0.518561587995161,-79.7566084991144,-79.7566084991144,13.21360420306515
2445,0.43953492588948107,0.5604650741105189,159.18066296028147,159.18066296028147,-9.592851492264607
17143,0.48143841200483894,0.518561587995161,133.97479674093944,133.97479674093944,-83.77583489984806
19170,0.48668817573865975,0.5133118242613403,124.63322550727835,124.63322550727835,-80.05279703001919
29904,0.48143841200483894,0.518561587995161,58.993646914731215,58.993646914731215,-49.80684781306808
35363,0.48143841200483894,0.518561587995161,-25.923768589915646,-25.923768589915646,-10.83056824478011
15185,0.48143841200483894,0.518561587995161,125.09878088283598,125.09878088283598,-80.24666070812711
38167,0.48143841200483894,0.518561587995161,-20.369844106140008,-20.369844106140008,-14.005243305957022
40721,0.48143841200483894,0.518561587995161,-52.659363167000514,-52.659363167000514,0.3721063350162335
20131,0.43953492588948107,0.5604650741105189,128.77908343586176,128.77908343586176,-81.68534224537487
32773,0.48143841200483894,0.518561587995161,-21.80278247038529,-21.80278247038529,-12.93869078353484
29454,0.48668817573865975,0.5133118242613403,99.92017339456592,99.92017339456592,-68.88772703666099
1625,0.48143841200483894,0.518561587995161,121.24195555547747,121.24195555547747,-77.73587353167952
6652,0.43953492588948107,0.5604650741105189,164.11631918016127,164.11631918016127,-4.935009976193875
40554,0.48143841200483894,0.518561587995161,-34.49653622632939,-34.49653622632939,-7.853154360771857
40110,0.48143841200483894,0.518561587995161,-72.97806570913268,-72.97806570913268,9.779855905523284
37277,0.48143841200483894,0.518561587995161,-16.275029111108324,-16.275029111108324,-16.212338286586697
955,0.4658410611199143,0.5341589388800857,121.47363664566491,121.47363664566491,-79.04561913351014
29326,0.48143841200483894,0.518561587995161,38.05549357046302,38.05549357046302,-39.51344306089614
1936,0.48143841200483894,0.518561587995161,118.73000749708987,118.73000749708987,-77.43649612240806
20017,0.4658410611199143,0.5341589388800857,135.45664111223675,135.45664111223675,-84.75606572216671
35629,0.43953492588948107,0.5604650741105189,-5.712647652872488,-5.712647652872488,-20.302677016523184
29758,0.43953492588948107,0.5604650741105189,16.979842369122963,16.979842369122963,14.723954080431493
16472,0.48143841200483894,0.518561587995161,136.50183727938025,136.50183727938025,-84.39990688519316
22588,0.9358211757696778,0.06417882423032219,124.77757274881256,124.77757274881256,-79.68191107422167
37902,0.48143841200483894,0.518561587995161,-39.746508710432096,-39.746508710432096,-5.1346638060483265
40275,0.9249081101817799,0.07509188981822014,-75.61596851759475,-75.61596851759475,19.68072648204882
15116,0.4658410611199143,0.5341589388800857,133.76098449143888,133.76098449143888,-84.15114542770317
27073,0.43953492588948107,0.5604650741105189,152.59869849577237,152.59869849577237,-12.685660396366838
37828,0.9249081101817799,0.07509188981822014,-21.916026735042987,-21.916026735042987,9.425886793723036
37716,0.42418464829926794,0.5758153517007321,-57.365813802490145,-57.365813802490145,3.163879712406552
41949,0.6258316939607338,0.37416830603926615,-58.04125358926937,-58.04125358926937,2.7551610486951548
3552,0.42418464829926794,0.5758153517007321,119.94046898175179,119.94046898175179,-77.69037496028685
161,0.44471962392852027,0.5552803760714797,122.59493642003068,122.59493642003068,-78.5455275030351
185,0.4658410611199143,0.5341589388800857,121.70815899336844,121.70815899336844,-78.92878469433326
24544,0.42418464829926794,0.5758153517007321,151.9720424129634,151.9720424129634,-5.36819842599403
544,0.4658410611199143,0.5341589388800857,121.66792651177057,121.66792651177057,-78.38296271615393
209,0.43953492588948107,0.5604650741105189,122.16205394892185,122.16205394892185,-79.24557268028488
29038,0.48143841200483894,0.518561587995161,111.47595098474864,111.47595098474864,-74.39048327570926
26632,0.43953492588948107,0.5604650741105189,63.53978454594408,63.53978454594408,-51.24105378047432
35877,0.9358211757696778,0.06417882423032219,38.53909947370872,38.53909947370872,-41.265328909353805
953,0.48143841200483894,0.518561587995161,119.14226879301059,119.14226879301059,-77.70758670485765
1280,0.4658410611199143,0.5341589388800857,119.342196365985,119.342196365985,-77.71278016307615
41567,0.4293269794443071,0.5706730205556929,-74.9939275981963,-74.9939275981963,10.82186992258973
32807,0.9249081101817799,0.07509188981822014,77.50364562543797,77.50364562543797,-58.864202167312406
5596,0.4658410611199143,0.5341589388800857,129.40159592907952,129.40159592907952,-82.05099771635057
40443,0.4658410611199143,0.5341589388800857,-55.00138740630059,-55.00138740630059,1.416848424716715
40715,0.48143841200483894,0.518561587995161,-94.38302878447699,-94.38302878447699,26.412530054171285
25401,0.48143841200483894,0.518561587995161,125.78285224226137,125.78285224226137,-80.85299636987587
88,0.6597374481608782,0.34026255183912185,146.9283321630175,146.9283321630175,-16.68567805151012
33457,0.6782439678375232,0.32175603216247683,-14.80538332771085,-14.80538332771085,-16.22130389473436
41238,0.4658410611199143,0.5341589388800857,-60.65956748602643,-60.65956748602643,4.202176595986194
1191,0.42418464829926794,0.5758153517007321,125.46284077727825,125.46284077727825,-79.93748841654045
36214,0.48143841200483894,0.518561587995161,-54.64736567130991,-54.64736567130991,2.7783726071876447
40825,0.6644402721173683,0.3355597278826316,-54.84762952717542,-54.84762952717542,1.4146350176270206
39488,0.48668817573865975,0.5133118242613403,-43.73474641674901,-43.73474641674901,-3.4127846732909357
16644,0.48143841200483894,0.518561587995161,131.7007289636888,131.7007289636888,-83.45620490273656
37950,0.48668817573865975,0.5133118242613403,-13.311497194781287,-13.311497194781287,-17.67271730373087
38250,0.48143841200483894,0.518561587995161,-66.78773334013363,-66.78773334013363,22.568313124037157
37808,0.48668817573865975,0.5133118242613403,-11.157886758615602,-11.157886758615602,-18.508650378907173
2060,0.48143841200483894,0.518561587995161,121.29370499344482,121.29370499344482,-78.89422686899647
23905,0.48143841200483894,0.518561587995161,-8.132043800776879,-8.132043800776879,-19.292571397962366
25273,0.43953492588948107,0.5604650741105189,124.21781976030444,124.21781976030444,-80.08919954454618
29383,0.48143841200483894,0.518561587995161,125.36847546722021,125.36847546722021,-80.79518702313898
